,minimum_sample_split,n_estimators,minimum_sample_leaf,minimum_impurity_decrease,training_accuracy,testing_accuracy,accuracy_differences
0,3,30,0.01,0.0,0.9011627906976745,0.8913043478260869,0.009858442871587547
1,3,30,0.01,0.05,0.8270348837209303,0.8304347826086956,0.0033998988877653735
2,3,30,0.01,0.1,0.811046511627907,0.8217391304347826,0.010692618806875664
3,3,30,0.060000000000000005,0.0,0.8633720930232558,0.8739130434782608,0.010540950455005027
4,3,30,0.060000000000000005,0.05,0.8328488372093024,0.8434782608695652,0.010629423660262871
5,3,30,0.060000000000000005,0.1,0.8197674418604651,0.8217391304347826,0.0019716885743175094
6,3,30,0.11,0.0,0.8473837209302325,0.8391304347826087,0.008253286147623773
7,3,30,0.11,0.05,0.8284883720930233,0.8347826086956521,0.006294236602628844
8,3,30,0.11,0.1,0.8226744186046512,0.8304347826086956,0.007760364004044451
9,3,30,0.16000000000000003,0.0,0.8284883720930233,0.8391304347826087,0.010642062689585452
10,3,30,0.16000000000000003,0.05,0.8313953488372093,0.8521739130434782,0.02077856420626889
11,3,30,0.16000000000000003,0.1,0.8197674418604651,0.8217391304347826,0.0019716885743175094
12,3,30,0.21000000000000002,0.0,0.8313953488372093,0.8347826086956521,0.0033872598584427926
13,3,30,0.21000000000000002,0.05,0.8197674418604651,0.8217391304347826,0.0019716885743175094
14,3,30,0.21000000000000002,0.1,0.8372093023255814,0.8521739130434782,0.014964610717896787
15,3,30,0.26,0.0,0.813953488372093,0.8304347826086956,0.016481294236602606
16,3,30,0.26,0.05,0.8270348837209303,0.8521739130434782,0.025139029322547968
17,3,30,0.26,0.1,0.8125,0.8391304347826087,0.026630434782608736
18,3,30,0.31000000000000005,0.0,0.809593023255814,0.8304347826086956,0.020841759352881684
19,3,30,0.31000000000000005,0.05,0.7776162790697675,0.8130434782608695,0.03542719919110204
20,3,30,0.31000000000000005,0.1,0.5392441860465116,0.5956521739130435,0.056407987866531895
21,3,30,0.36000000000000004,0.0,0.5392441860465116,0.5956521739130435,0.056407987866531895
22,3,30,0.36000000000000004,0.05,0.5392441860465116,0.5956521739130435,0.056407987866531895
23,3,30,0.36000000000000004,0.1,0.5392441860465116,0.5956521739130435,0.056407987866531895
24,3,30,0.41000000000000003,0.0,0.5392441860465116,0.5956521739130435,0.056407987866531895
25,3,30,0.41000000000000003,0.05,0.5392441860465116,0.5956521739130435,0.056407987866531895
26,3,30,0.41000000000000003,0.1,0.5392441860465116,0.5956521739130435,0.056407987866531895
27,3,30,0.46,0.0,0.5392441860465116,0.5956521739130435,0.056407987866531895
28,3,30,0.46,0.05,0.5392441860465116,0.5956521739130435,0.056407987866531895
29,3,30,0.46,0.1,0.5392441860465116,0.5956521739130435,0.056407987866531895
30,3,30,0.51,0.0,0.5392441860465116,0.5956521739130435,0.056407987866531895
31,3,30,0.51,0.05,0.5392441860465116,0.5956521739130435,0.056407987866531895
32,3,30,0.51,0.1,0.5392441860465116,0.5956521739130435,0.056407987866531895
33,3,30,0.56,0.0,0.5392441860465116,0.5956521739130435,0.056407987866531895
34,3,30,0.56,0.05,0.5392441860465116,0.5956521739130435,0.056407987866531895
35,3,30,0.56,0.1,0.5392441860465116,0.5956521739130435,0.056407987866531895
36,3,30,0.6100000000000001,0.0,0.5392441860465116,0.5956521739130435,0.056407987866531895
37,3,30,0.6100000000000001,0.05,0.5392441860465116,0.5956521739130435,0.056407987866531895
38,3,30,0.6100000000000001,0.1,0.5392441860465116,0.5956521739130435,0.056407987866531895
39,3,30,0.66,0.0,0.5392441860465116,0.5956521739130435,0.056407987866531895
40,3,30,0.66,0.05,0.5392441860465116,0.5956521739130435,0.056407987866531895
41,3,30,0.66,0.1,0.5392441860465116,0.5956521739130435,0.056407987866531895
42,3,30,0.7100000000000001,0.0,0.5392441860465116,0.5956521739130435,0.056407987866531895
43,3,30,0.7100000000000001,0.05,0.5392441860465116,0.5956521739130435,0.056407987866531895
44,3,30,0.7100000000000001,0.1,0.5392441860465116,0.5956521739130435,0.056407987866531895
45,3,30,0.76,0.0,0.5392441860465116,0.5956521739130435,0.056407987866531895
46,3,30,0.76,0.05,0.5392441860465116,0.5956521739130435,0.056407987866531895
47,3,30,0.76,0.1,0.5392441860465116,0.5956521739130435,0.056407987866531895
48,3,30,0.81,0.0,0.5392441860465116,0.5956521739130435,0.056407987866531895
49,3,30,0.81,0.05,0.5392441860465116,0.5956521739130435,0.056407987866531895
50,3,30,0.81,0.1,0.5392441860465116,0.5956521739130435,0.056407987866531895
51,3,30,0.8600000000000001,0.0,0.5392441860465116,0.5956521739130435,0.056407987866531895
52,3,30,0.8600000000000001,0.05,0.5392441860465116,0.5956521739130435,0.056407987866531895
53,3,30,0.8600000000000001,0.1,0.5392441860465116,0.5956521739130435,0.056407987866531895
54,3,30,0.91,0.0,0.5392441860465116,0.5956521739130435,0.056407987866531895
55,3,30,0.91,0.05,0.5392441860465116,0.5956521739130435,0.056407987866531895
56,3,30,0.91,0.1,0.5392441860465116,0.5956521739130435,0.056407987866531895
57,3,30,0.9600000000000001,0.0,0.5392441860465116,0.5956521739130435,0.056407987866531895
58,3,30,0.9600000000000001,0.05,0.5392441860465116,0.5956521739130435,0.056407987866531895
59,3,30,0.9600000000000001,0.1,0.5392441860465116,0.5956521739130435,0.056407987866531895
60,5,30,0.01,0.0,0.8909883720930233,0.8869565217391304,0.004031850353892863
61,5,30,0.01,0.05,0.8357558139534884,0.8391304347826087,0.003374620829120323
62,5,30,0.01,0.1,0.8357558139534884,0.8347826086956521,0.0009732052578362849
63,5,30,0.060000000000000005,0.0,0.8372093023255814,0.8652173913043478,0.028008088978766388
64,5,30,0.060000000000000005,0.05,0.8328488372093024,0.8478260869565217,0.014977249747219368
65,5,30,0.060000000000000005,0.1,0.7718023255813954,0.8217391304347826,0.04993680485338725
66,5,30,0.11,0.0,0.8372093023255814,0.8565217391304348,0.019312436804853395
67,5,30,0.11,0.05,0.8372093023255814,0.8521739130434782,0.014964610717896787
68,5,30,0.11,0.1,0.8357558139534884,0.8347826086956521,0.0009732052578362849
69,5,30,0.16000000000000003,0.0,0.8328488372093024,0.8478260869565217,0.014977249747219368
70,5,30,0.16000000000000003,0.05,0.8197674418604651,0.8260869565217391,0.006319514661274006
71,5,30,0.16000000000000003,0.1,0.811046511627907,0.8217391304347826,0.010692618806875664
72,5,30,0.21000000000000002,0.0,0.8241279069767442,0.8304347826086956,0.006306875631951425
73,5,30,0.21000000000000002,0.05,0.8328488372093024,0.8521739130434782,0.019325075834175864
74,5,30,0.21000000000000002,0.1,0.8212209302325582,0.8173913043478261,0.003829625884732013
75,5,30,0.26,0.0,0.8299418604651163,0.8347826086956521,0.0048407482305358185
76,5,30,0.26,0.05,0.8125,0.8304347826086956,0.017934782608695632
77,5,30,0.26,0.1,0.8357558139534884,0.8347826086956521,0.0009732052578362849
